"id","price","carat","cut","color","clarity","depth","table","x","y","z"
1,2209,0.7,"Very Good","G","SI1",62.8,58,5.64,5.69,3.56
2,2035,0.78,"Good","J","SI1",58,62,6.01,6.05,3.5
3,2263,0.7,"Very Good","E","SI2",61.5,60,5.65,5.7,3.49
4,15488,1.52,"Ideal","E","VS2",62.4,55,7.42,7.32,4.6
5,1688,0.53,"Good","F","VS1",64.2,56,5.11,5.14,3.29
6,2313,0.71,"Ideal","H","SI1",62.7,55,5.66,5.7,3.56
7,2753,0.76,"Premium","I","VS1",59.3,62,5.93,5.85,3.49
8,1350,0.5,"Fair","G","VS1",65.8,57,5.03,4.91,3.27
9,1629,0.5,"Premium","G","VS1",61.1,60,5.1,5.05,3.1
10,4182,0.94,"Ideal","D","SI2",62.1,56,6.21,6.25,3.87
11,3975,1,"Very Good","H","SI2",63.1,58,6.29,6.36,3.99
12,666,0.33,"Ideal","G","VS1",61.4,54,4.44,4.48,2.74
13,421,0.3,"Very Good","H","SI1",62.2,60,4.24,4.28,2.65
14,524,0.32,"Very Good","G","VS2",60.1,61,4.41,4.44,2.66
15,11922,1.56,"Ideal","H","VS2",61.6,57,7.51,7.45,4.61
16,10210,1.56,"Ideal","F","SI2",61.6,56,7.41,7.45,4.58
17,6218,1.03,"Very Good","F","VS2",63.4,62,6.34,6.31,4.01
18,2302,0.54,"Ideal","D","VVS2",61.2,55,5.25,5.31,3.23
19,3849,0.72,"Ideal","G","VVS2",61.9,57,5.72,5.75,3.55
20,12009,1.5,"Ideal","G","SI1",61,57,7.38,7.41,4.51
21,571,0.31,"Good","D","SI1",63.5,57,4.28,4.32,2.73
22,1219,0.38,"Ideal","H","VVS1",60.7,55,4.71,4.74,2.87
23,3999,1.01,"Ideal","I","SI1",60.6,57,6.51,6.56,3.96
24,4965,1.01,"Premium","H","SI1",61.8,59,6.41,6.37,3.95
25,629,0.3,"Very Good","G","VS1",62.5,59,4.32,4.25,2.68
26,5301,1.26,"Ideal","J","SI1",62,56,6.9,6.93,4.29
